date,equity
2025-02-27,102584.81617482977
2025-02-28,104794.99901045657
2025-03-03,107081.53054725181
2025-03-04,98295.14620403599
2025-03-05,93536.12147760738
2025-03-06,100662.87397331308
2025-03-07,96897.4178764689
2025-03-10,94971.23666746171
2025-03-11,94621.83390234136
2025-03-12,97478.63964445484
2025-03-13,94432.607639522
2025-03-14,93090.34721249249
2025-03-17,92494.36253318982
2025-03-18,93641.2719966676
2025-03-19,91054.52291592858
2025-03-20,87239.42287497342
2025-03-21,86460.27707614597
2025-03-24,86292.06746382527
2025-03-25,92133.6208100012
2025-03-26,92195.00273990369
2025-03-27,87864.55809725268
2025-03-28,89628.14803762102
2025-03-31,90774.71026516907
2025-04-01,83441.45629376025
2025-04-02,81533.71459436842
2025-04-03,83561.28126759353
2025-04-04,82803.79024263633
2025-04-07,76447.28823125309
2025-04-08,81055.96405066308
2025-04-09,79276.47557425026
2025-04-10,80550.83883241234
2025-04-11,75223.80655084725
2025-04-14,75981.94726362667
2025-04-15,76326.56637935794
2025-04-16,79897.144140652
2025-04-17,78642.93405041061
2025-04-18,77630.86557549016
2025-04-21,81584.7233247121
2025-04-22,77679.42580508826
2025-04-23,74516.66291616792
2025-04-24,73952.69391027397
2025-04-25,74467.39044883451
2025-04-28,75766.89849289412
2025-04-29,77055.85441527158
2025-04-30,76063.28378435981
2025-05-01,74706.44279569882
2025-05-02,79181.11657195803
2025-05-05,77017.97476498265
2025-05-06,78917.74614678937
2025-05-07,78170.90094224113
2025-05-08,78336.67373440674
2025-05-09,78055.64199367064
2025-05-12,84223.32126204675
2025-05-13,84094.2225452192
2025-05-14,86487.07000732639
2025-05-15,83793.21714905708
2025-05-16,84335.49952585014
2025-05-19,80415.46864656889
2025-05-20,85184.7441133619
2025-05-21,83544.19618465603
2025-05-22,88367.82824655576
2025-05-23,96899.04523491238
2025-05-26,97573.19016728547
2025-05-27,100065.7524555944
2025-05-28,102292.69681882585
2025-05-29,100138.42885342019
2025-05-30,98854.3438661016
2025-06-02,96665.90767718757
2025-06-03,95239.39222386034
2025-06-04,96984.41272538286
2025-06-05,90039.8213981578
2025-06-06,90180.78459505182
2025-06-09,94469.07777453463
2025-06-10,92917.27138644442
2025-06-11,94837.6353557777
2025-06-12,93659.13992084746
2025-06-13,88175.17151500685
2025-06-16,90539.90674820755
2025-06-17,96780.04485562946
2025-06-18,101324.0653562039
2025-06-19,96810.56463381308
2025-06-20,97371.41774761694
2025-06-23,97320.62166716236
2025-06-24,95461.30980995364
2025-06-25,95189.28064712221
2025-06-26,94495.45378929046
2025-06-27,94185.23062599241
2025-06-30,92537.95587253656
2025-07-01,94319.0737245826
2025-07-02,96810.19310233294
2025-07-03,92747.15400102828
2025-07-04,99476.64411875005
2025-07-07,101558.48341670143
2025-07-08,96950.96298157405
2025-07-09,98799.58171019696
2025-07-10,92873.9264895461
2025-07-11,99524.69056480688
2025-07-14,101304.41500925113
2025-07-15,103586.90993396056
2025-07-16,102753.41228204861
2025-07-17,102205.585111147
2025-07-18,105861.9250117802
2025-07-21,104177.27151921878
2025-07-22,107114.88766221852
2025-07-23,108418.91637627689
2025-07-24,109864.12939102312
2025-07-25,109123.91125880196
2025-07-28,104826.75232654586
2025-07-29,106231.91035285272
2025-07-30,107554.59418087924
2025-07-31,112018.57211465851
2025-08-01,113653.78796206499
2025-08-04,115224.56057759291
2025-08-05,120534.8396842503
2025-08-06,120882.69684643317
2025-08-07,121246.75370800916
2025-08-08,123268.51367748361
2025-08-11,120398.1274256747
2025-08-12,120693.37330128286
2025-08-13,123483.23516161527
2025-08-14,121821.02724556418
2025-08-15,123879.71729819293
2025-08-18,123018.23505702564
2025-08-19,121855.51785489729
2025-08-20,116462.0651762949
2025-08-21,121455.15563973376
2025-08-22,119033.05238079076
2025-08-25,119342.61136757104
2025-08-26,116433.55850393843
2025-08-27,122002.54199287799
2025-08-28,119231.0996588771
2025-08-29,125089.47190411284
2025-09-01,127104.52923899096
2025-09-02,129132.80400400134
2025-09-03,130308.74139960665
2025-09-04,129917.88116510659
2025-09-05,131705.3442240802
2025-09-08,130085.65164254147
2025-09-09,135873.97560122766
2025-09-10,138486.28604736272
2025-09-11,140556.10767796953
2025-09-12,147517.05399370834
2025-09-15,144358.37830181455
2025-09-16,141933.10853113487
2025-09-17,142982.2090347445
2025-09-18,151645.98112352288
2025-09-19,169010.06413947212
2025-09-22,169965.9561148638
2025-09-23,177880.26262570533
2025-09-24,169080.42747132873
2025-09-25,184931.3536350816
2025-09-26,194211.20139590732
2025-09-29,191445.27964910422
2025-09-30,198296.53291577642
2025-10-01,200065.1896391787
2025-10-02,195641.6278519117
2025-10-03,193014.5947097825
2025-10-06,200497.9393645635
2025-10-07,207668.05819700297
2025-10-08,208694.4962172205
2025-10-09,219245.08311449375
2025-10-10,232332.07204343192
2025-10-13,240649.50873220272
2025-10-14,256646.5332806062
2025-10-15,260429.6276378887
2025-10-16,258297.66734869132
2025-10-17,281312.72441018076
2025-10-20,278729.3405575875
2025-10-21,264252.42048081354
2025-10-22,277823.6506690567
2025-10-23,297668.4580733153
2025-10-24,336070.61331452907
2025-10-27,364531.71829529875
2025-10-28,392506.90844748286
2025-10-29,395873.0685217739
2025-10-30,400809.6159197466
2025-10-31,415111.33879496757
2025-11-03,417975.7886353029
2025-11-04,430241.8621278831
2025-11-05,441726.0213341331
2025-11-06,443541.1280768971
2025-11-07,464441.5902997106
2025-11-10,463954.59773652896
2025-11-11,479532.20477729395
2025-11-12,478290.7838107954
2025-11-13,472767.1078697243
2025-11-14,474969.3523019425
2025-11-17,462481.9493384705
2025-11-18,503281.2858042545
2025-11-19,537755.010937231
2025-11-20,552023.375908312
2025-11-21,590734.2129923721
2025-11-24,616652.33511453
2025-11-25,621857.1078441715
2025-11-26,632038.3921021818
2025-11-27,646825.4148282198
2025-11-28,679414.8143425528
2025-12-01,675502.342099136
2025-12-02,687644.6615542548
2025-12-03,731131.750543277
2025-12-04,702445.7078253413
2025-12-05,730532.8824883027
2025-12-08,775564.1337694568
2025-12-09,761226.0859005623
2025-12-10,823246.5452646837
2025-12-11,829202.7049400846
2025-12-12,843743.0493462349
2025-12-15,880629.1377123287
2025-12-16,902688.8434383464
2025-12-17,931759.751292326
2025-12-18,1008254.0308057469
2025-12-19,986115.2791777313
2025-12-22,1006499.108889844
2025-12-23,1078920.8048262065
2025-12-24,1094908.1043803894
2025-12-25,1161858.295211053
2025-12-26,1167991.4127597082
2025-12-29,1257430.1002389025
2025-12-30,1328321.4766133504
2025-12-31,1348550.4612210095
2026-01-01,1391854.4099113268
2026-01-02,1306046.5195206827
2026-01-05,1354819.4339969102
2026-01-06,1435660.4024503422
2026-01-07,1558746.2405587495
2026-01-08,1675480.6613351214
2026-01-09,1714562.2144102992
2026-01-12,1759642.305720172
2026-01-13,1764156.891635478
2026-01-14,1755211.440354702
2026-01-15,1968316.4875524587
2026-01-16,2050821.5352870275
2026-01-19,2032836.1385072167
2026-01-20,2084178.9500060834
2026-01-21,2272151.257335281
2026-01-22,2253409.6954949643
2026-01-23,2274102.748347104
2026-01-26,2422823.3264798718
2026-01-27,2545183.9060520497
2026-01-28,2625327.622868277
2026-01-29,2792720.1823356715
2026-01-30,2888178.066848956
2026-02-02,3144420.533031361
2026-02-03,3516393.550119378
2026-02-04,4204130.569425223
2026-02-05,4469794.988170752
2026-02-06,4795326.029099331
2026-02-09,4910519.821837757
2026-02-10,4925125.871068123
2026-02-11,5102048.849752158
2026-02-12,5248092.387508549
2026-02-13,6017070.89693068
2026-02-16,6630188.43222472
2026-02-17,7184473.732169646
2026-02-18,7420664.497711266
2026-02-19,7225742.178445965
2026-02-20,7507224.652771301
2026-02-23,8020781.410006011
2026-02-24,8527830.24331185
2026-02-25,8855270.982167274
2026-02-26,9049058.202310052
2026-02-27,10183266.54465229
